person_id,master_metadata_track_name,master_metadata_album_artist_name,total_minutes,repeat_count,days_listened,playlist_share,first_listened,last_listened,peak_month
ama,Under The Milky Way,The Church,1475.0920166666665,396,192,0.5833333333333334,2016-09-25 05:12:53+00:00,2025-11-23 01:10:08+00:00,2018-03
ama,Hallelujah,k.d. lang,1199.8146166666668,244,210,0.9959016393442623,2016-09-23 07:42:07+00:00,2025-11-23 00:29:54+00:00,2018-08
ama,Flame Trees,Sarah Blasko,1059.5597333333335,225,199,1.0,2016-09-25 08:27:06+00:00,2025-11-27 07:26:20+00:00,2022-05
ama,The Blower's Daughter,Damien Rice,897.0433999999999,268,164,1.0,2016-09-25 05:42:29+00:00,2025-11-27 09:34:15+00:00,2017-09
ama,One Crowded Hour,Augie March,817.7480666666668,189,157,0.9312169312169312,2016-09-25 07:30:53+00:00,2025-12-10 03:58:31+00:00,2018-08
ama,Cattle And Cane - Remastered,The Go-Betweens,740.727,236,207,1.0,2016-09-25 05:20:21+00:00,2025-09-28 04:03:11+00:00,2022-09
ama,These Days,Powderfinger,711.1858666666666,158,146,1.0,2017-06-16 08:03:03+00:00,2025-12-13 07:01:27+00:00,2022-05
ama,We Won't Run,Sarah Blasko,696.3459166666667,194,163,0.9896907216494846,2016-09-25 08:21:42+00:00,2025-12-13 06:35:04+00:00,2022-10
ama,Lost my Head there,Kurt Vile,682.17315,132,120,0.5378787878787878,2017-01-14 07:11:16+00:00,2025-08-09 05:55:36+00:00,2022-01
ama,Lock It,Falling Joys,674.3692999999997,214,126,1.0,2016-10-02 09:00:00+00:00,2025-11-27 06:10:30+00:00,2023-06
ama,Stubborn Love,The Lumineers,611.3571833333332,140,124,0.0,2016-09-27 06:56:34+00:00,2025-11-27 09:55:03+00:00,2018-07
ama,Big Jet Plane,Angus & Julia Stone,605.1997666666666,162,137,0.04938271604938271,2016-09-25 07:50:04+00:00,2025-11-27 06:26:18+00:00,2018-08
ama,Private Universe,Crowded House,599.9268999999999,157,116,0.4394904458598726,2016-09-25 06:35:13+00:00,2025-11-27 11:42:11+00:00,2017-12
ama,Somebody That I Used To Know,Gotye,583.3121333333333,146,121,0.0,2016-09-25 07:15:51+00:00,2025-11-27 07:08:39+00:00,2018-06
ama,Trail of Broken Hearts - 2010 Remaster,k.d. lang,574.7894666666668,202,185,1.0,2016-09-23 06:58:20+00:00,2025-11-27 12:56:08+00:00,2022-05
ama,Leeward Side,Josh Pyke,563.1076333333333,228,193,0.4824561403508772,2016-10-02 08:32:11+00:00,2025-12-10 03:53:40+00:00,2023-08
ama,I Don't Want to Change You,Damien Rice,540.2532333333331,148,128,0.0,2016-09-25 08:17:41+00:00,2025-12-10 05:19:55+00:00,2018-07
ama,Coming Down,Ball Park Music,536.6983833333334,157,132,0.6560509554140127,2016-09-25 07:19:26+00:00,2025-11-27 09:18:13+00:00,2018-08
ama,Something I Said,Thundamentals,525.2712666666667,160,136,0.0125,2016-09-30 22:26:05+00:00,2025-12-10 04:02:01+00:00,2018-08
ama,Bury Me Deep In Love,The Triffids,521.7288999999998,197,161,0.6345177664974619,2016-09-27 08:36:21+00:00,2025-11-02 01:37:29+00:00,2022-07
ama,Under The Milky Way - Acoustic,The Church,511.7902499999999,114,109,0.0,2020-01-02 02:05:56+00:00,2025-11-27 12:35:39+00:00,2022-07
ama,Danny Boy,My Friend The Chocolate Cake,509.38503333333335,136,115,0.6617647058823529,2016-09-27 06:37:09+00:00,2025-07-23 03:22:05+00:00,2017-12
ama,Even Though I'm A Woman,Seeker Lover Keeper,504.64408333333336,133,112,1.0,2016-09-25 08:12:14+00:00,2025-12-10 04:20:42+00:00,2018-03
ama,Four Seasons In One Day,Paul Kelly,498.32804999999996,160,136,1.0,2016-10-02 08:44:30+00:00,2025-08-09 08:20:52+00:00,2023-09
ama,Elephant - Todd Rundgren Remix,Tame Impala,489.73731666666663,100,97,0.12,2017-05-04 05:29:05+00:00,2025-08-09 06:01:16+00:00,2023-08
ama,Metropolis - 2005 Digital Remaster,The Church,488.73108333333323,137,121,1.0,2016-09-25 06:22:55+00:00,2025-11-27 07:01:20+00:00,2018-03
ama,Gold,Chet Faker,484.27218333333326,146,130,0.6643835616438356,2016-09-27 06:28:06+00:00,2025-12-10 04:25:25+00:00,2018-09
ama,Big Eyes,Matt Corby,481.0944333333334,152,128,0.0,2016-09-25 06:39:56+00:00,2025-11-27 06:49:44+00:00,2017-09
ama,Home (featuring the Gulu Widows Choir),Edward Sharpe & The Magnetic Zeros,475.5199166666665,108,100,1.0,2016-09-25 07:11:46+00:00,2025-06-28 06:37:51+00:00,2018-03
ama,Royals,Lorde,467.9696833333333,159,134,0.6918238993710691,2016-09-25 06:02:17+00:00,2025-11-27 08:01:46+00:00,2018-08
ama,Don't Stop 'Til You Get Enough,Michael Jackson,430.4716166666666,79,73,1.0,2016-09-30 22:38:34+00:00,2025-11-14 23:01:57+00:00,2023-12
ama,Heart's on Fire,Passenger,429.25266666666664,131,114,0.0,2017-07-16 08:03:28+00:00,2025-06-28 06:21:32+00:00,2018-07
ama,Brown Eyed Girl,Van Morrison,421.55888333333326,213,151,0.0,2016-09-25 06:25:59+00:00,2025-11-27 06:29:31+00:00,2017-08
ama,Farewell Rocketship,Children Collide,413.3745166666668,127,114,1.0,2016-09-25 05:37:40+00:00,2025-11-27 09:21:59+00:00,2019-03
ama,Let's Do It (Let's Fall In Love),Louis Armstrong,409.4416333333332,59,56,0.0,2016-09-25 07:39:35+00:00,2025-06-28 06:55:53+00:00,2023-01
ama,Seven Day Mile,The Frames,409.42414999999994,140,123,0.6428571428571429,2016-09-25 06:52:29+00:00,2025-11-27 12:01:18+00:00,2017-12
ama,Here Comes Your Man,Pixies,407.4575500000001,149,137,0.6174496644295302,2016-09-25 05:33:55+00:00,2025-11-06 10:36:00+00:00,2018-03
ama,Fools Gold - Remastered 2009,The Stone Roses,390.1446500000001,46,45,1.0,2017-01-12 22:52:14+00:00,2025-07-31 21:59:12+00:00,2017-06
ama,Lordy May,Boy & Bear,379.67831666666666,145,122,0.0,2016-09-25 06:29:33+00:00,2025-11-27 08:53:26+00:00,2017-09
ama,Talk Is Cheap,Chet Faker,378.96888333333334,153,141,0.6470588235294118,2016-09-22 06:12:54+00:00,2025-11-21 06:06:27+00:00,2017-03
ama,Melting,Paul Kelly,375.2689166666667,121,108,0.0,2016-09-25 05:47:46+00:00,2025-12-10 03:46:50+00:00,2017-09
ama,Straight Lines,Silverchair,372.5592000000001,109,92,0.0,2016-09-27 07:07:40+00:00,2025-11-23 00:03:18+00:00,2018-03
ama,My Happiness,Powderfinger,368.6016166666667,85,77,1.0,2017-07-16 06:21:45+00:00,2025-10-27 04:59:09+00:00,2022-05
ama,Departures (Blue Toowong Skies),Bernard Fanning,366.9713666666667,87,82,0.06896551724137931,2016-12-02 11:03:49+00:00,2025-10-11 05:31:29+00:00,2022-05
ama,Ain't No Sunshine,Michael Jackson,365.8609833333333,140,120,0.0,2016-09-25 08:31:17+00:00,2025-07-23 02:32:34+00:00,2018-06
